product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit
1001;67212Q;LUBRAX ESSENCIAL SL 15W40 1-LITRO;01/01/2024;1;2024;0;0;0
1002;67213R;LUBRAX SUPERA 5W40 SN 1-LITRO SINTETICO;01/01/2024;1;2024;0;0;0
1003;67215T;ESSENCIAL ALTA ROD. 25W50 SL 1-LITRO;01/01/2024;1;2024;13555,86;19;713
1004;67216U;LUBRAX TOP TURBO 15W40 CI-41-LITRO;01/01/2024;1;2024;115607,31;193;599
1005;67218W;LUBRAX TECNO 15W40 SN SEMITB-200L;01/01/2024;1;2024;0;0;0
1006;67219X;LUBRAX TECNO 15W40 SN SEMI3-LITROS;01/01/2024;1;2024;61496,88;133;462
1007;67220Y;LUBRAX TECNO 15W40 SN SEMISINT. 500-ML;01/01/2024;1;2024;16893,37;29;582
1008;67221Z;LUBRAX TECNO 15W40 SN SEMI 1-LITRO;01/01/2024;1;2024;254111,43;415;612
1009;67223B;LUBRAX ESSENCIAL 15W40 SL3-LITROS;01/01/2024;1;2024;0;0;0
1010;67224C;LUBRAX ESSENCIAL 15W40 SL500-ML;01/01/2024;1;2024;0;0;0
1011;67228G;ESSENCIA ALTA ROD. 25W503-LITROS;01/01/2024;1;2024;3337,25;7;476
1012;67229H;ESSENCIAL ALTA ROD. 25W50500-ML;01/01/2024;1;2024;0;0;0
1013;67230I;LUBRAX TOP TURBO 15W40 CI-4 SL BD-20L;01/01/2024;1;2024;888405,76;2394;371
1014;67231J;LUBRAX TOP TURBO 15W40 CI-4 TB-200L;01/01/2024;1;2024;30989,18;8;3873
1015;67233L;LUBRAX ATF TIPO A OH50 1-LITRO;01/01/2024;1;2024;128535,35;193;665
1016;67234M;LUBRAX ATF TIPO A OH50500-ML;01/01/2024;1;2024;54286,67;81;670
1017;67235N;LUBRAX ATF TIPO A OH50 BD-20L;01/01/2024;1;2024;16230,32;30;541
1018;67237P;LUBRAX ATF TDX DEXRON III OH49 500-ML;01/01/2024;1;2024;3586,2;5;717
1019;67238Q;LUBRAX ATF TDX OH49 BD-20L DEXRON III;01/01/2024;1;2024;0;0;0
1020;67240S;LUBRAX ATF TDX OH49 TB-200L;01/01/2024;1;2024;0;0;0
1021;67242U;LUBRAX TURBINA 150BD-20L;01/01/2024;1;2024;0;0;0
1022;67257J;LUBRAX ESSENCIAL 2T API TC 500-ML;01/01/2024;1;2024;167720,82;301;557
1023;67369R;LUBRAX GRAXA AUTOLITH-2 1-KG;01/01/2024;1;2024;10748,5;10;1074
1024;67370S;LUBRAX GRAXA AUTOLITH 2500-GR;01/01/2024;1;2024;9515,08;12;792
1025;67371T;LUBRAX GRAXA AUTOLITH 2 BD-10KG;01/01/2024;1;2024;18837,47;53;355
1026;67372U;LUBRAX GRAXA AUTOLITH 2BD-20KG;01/01/2024;1;2024;51429,35;77;667
1027;67373V;LUBRAX GRAXA AUTOLITH 2 TB-170KG;01/01/2024;1;2024;11400;2;5700
1028;67374W;LUBRAX GRAXA CHASSIS 2BD-20KG;01/01/2024;1;2024;7658,52;17;450
1029;67375X;LUBRAX GRAXA CHASSIS 2 TB-170KG;01/01/2024;1;2024;0;0;0
1030;67475T;LUBRAX GL-5 SAE 901-LITRO;01/01/2024;1;2024;93814,36;161;582
1031;67476U;LUBRAX GL-5 SAE 80W90 1-LITRO;01/01/2024;1;2024;40488,46;63;642
1032;67477V;LUBRAX GL-5 SAE 85W140 1-LITRO;01/01/2024;1;2024;72664,13;115;631
1033;67478W;LUBRAX GL-5 SAE 85W140 BD-20L;01/01/2024;1;2024;388370,9;815;476
1034;67479X;LUBRAX TRM-4 GL-4 901-LITRO;01/01/2024;1;2024;3938,82;6;656
1035;67480Y;LUBRAX TRM-4 GL-4 90 BD-20L;01/01/2024;1;2024;0;0;0
