product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit;dias_uteis;qtd_dia;qtd_dia_10000;varia_dia_media;varia_dia_abs;qtd_med;desv_pad
1001;67212Q;LUBRAX ESSENCIAL SL 15W40 1-LITRO;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1001;67212Q;LUBRAX ESSENCIAL SL 15W40 1-LITRO;01/02/2024;2;2024;0;0;0;19;0,00000;0;0;0;0,00000;0,00000
1001;67212Q;LUBRAX ESSENCIAL SL 15W40 1-LITRO;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;0,00000;0,00000
1001;67212Q;LUBRAX ESSENCIAL SL 15W40 1-LITRO;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1001;67212Q;LUBRAX ESSENCIAL SL 15W40 1-LITRO;01/05/2024;5;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1001;67212Q;LUBRAX ESSENCIAL SL 15W40 1-LITRO;01/06/2024;6;2024;0;0;0;20;0,00000;0;0;0;0,00000;0,00000
1002;67213R;LUBRAX SUPERA 5W40 SN 1-LITRO SINTETICO;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1002;67213R;LUBRAX SUPERA 5W40 SN 1-LITRO SINTETICO;01/02/2024;2;2024;0;0;0;19;0,00000;0;0;0;0,00000;0,00000
1002;67213R;LUBRAX SUPERA 5W40 SN 1-LITRO SINTETICO;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;0,00000;0,00000
1002;67213R;LUBRAX SUPERA 5W40 SN 1-LITRO SINTETICO;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1002;67213R;LUBRAX SUPERA 5W40 SN 1-LITRO SINTETICO;01/05/2024;5;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1002;67213R;LUBRAX SUPERA 5W40 SN 1-LITRO SINTETICO;01/06/2024;6;2024;0;0;0;20;0,00000;0;0;0;0,00000;0,00000
1003;67215T;ESSENCIAL ALTA ROD. 25W50 SL 1-LITRO;01/01/2024;1;2024;13556;19;713;22;0,86364;8636;0;0;16,50000;5,85662
1003;67215T;ESSENCIAL ALTA ROD. 25W50 SL 1-LITRO;01/02/2024;2;2024;11046;16;690;19;0,84211;8421;9750;8421;16,50000;5,85662
1003;67215T;ESSENCIAL ALTA ROD. 25W50 SL 1-LITRO;01/03/2024;3;2024;4858;7;693;21;0,33333;3333;3958;4375;16,50000;5,85662
1003;67215T;ESSENCIAL ALTA ROD. 25W50 SL 1-LITRO;01/04/2024;4;2024;15043;21;716;22;0,95455;9545;28636;30000;16,50000;5,85662
1003;67215T;ESSENCIAL ALTA ROD. 25W50 SL 1-LITRO;01/05/2024;5;2024;16408;23;713;22;1,04545;10454;10952;10952;16,50000;5,85662
1003;67215T;ESSENCIAL ALTA ROD. 25W50 SL 1-LITRO;01/06/2024;6;2024;9711;13;747;20;0,65000;6500;6217;5652;16,50000;5,85662
1004;67216U;LUBRAX TOP TURBO 15W40 CI-41-LITRO;01/01/2024;1;2024;115607;193;599;22;8,77273;87727;0;0;134,83333;32,78668
1004;67216U;LUBRAX TOP TURBO 15W40 CI-41-LITRO;01/02/2024;2;2024;81467;135;603;19;7,10526;71052;8099;6994;134,83333;32,78668
1004;67216U;LUBRAX TOP TURBO 15W40 CI-41-LITRO;01/03/2024;3;2024;62346;104;599;21;4,95238;49523;6970;7703;134,83333;32,78668
1004;67216U;LUBRAX TOP TURBO 15W40 CI-41-LITRO;01/04/2024;4;2024;82796;140;591;22;6,36364;63636;12849;13461;134,83333;32,78668
1004;67216U;LUBRAX TOP TURBO 15W40 CI-41-LITRO;01/05/2024;5;2024;78962;134;589;22;6,09091;60909;9571;9571;134,83333;32,78668
1004;67216U;LUBRAX TOP TURBO 15W40 CI-41-LITRO;01/06/2024;6;2024;62409;103;605;20;5,15000;51500;8455;7686;134,83333;32,78668
1005;67218W;LUBRAX TECNO 15W40 SN SEMITB-200L;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;0,50000;0,83666
1005;67218W;LUBRAX TECNO 15W40 SN SEMITB-200L;01/02/2024;2;2024;0;0;0;19;0,00000;0;0;0;0,50000;0,83666
1005;67218W;LUBRAX TECNO 15W40 SN SEMITB-200L;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;0,50000;0,83666
1005;67218W;LUBRAX TECNO 15W40 SN SEMITB-200L;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;0,50000;0,83666
1005;67218W;LUBRAX TECNO 15W40 SN SEMITB-200L;01/05/2024;5;2024;4639;1;4639;22;0,04545;454;0;0;0,50000;0,83666
1005;67218W;LUBRAX TECNO 15W40 SN SEMITB-200L;01/06/2024;6;2024;8798;2;4399;20;0,10000;1000;22000;20000;0,50000;0,83666
1006;67219X;LUBRAX TECNO 15W40 SN SEMI3-LITROS;01/01/2024;1;2024;61497;133;462;22;6,04545;60454;0;0;92,50000;29,24893
1006;67219X;LUBRAX TECNO 15W40 SN SEMI3-LITROS;01/02/2024;2;2024;42024;93;451;19;4,89474;48947;8096;6992;92,50000;29,24893
1006;67219X;LUBRAX TECNO 15W40 SN SEMI3-LITROS;01/03/2024;3;2024;36804;82;448;21;3,90476;39047;7977;8817;92,50000;29,24893
1006;67219X;LUBRAX TECNO 15W40 SN SEMI3-LITROS;01/04/2024;4;2024;42989;99;434;22;4,50000;45000;11524;12073;92,50000;29,24893
1006;67219X;LUBRAX TECNO 15W40 SN SEMI3-LITROS;01/05/2024;5;2024;44785;104;430;22;4,72727;47272;10505;10505;92,50000;29,24893
1006;67219X;LUBRAX TECNO 15W40 SN SEMI3-LITROS;01/06/2024;6;2024;19430;44;441;20;2,20000;22000;4653;4230;92,50000;29,24893
