id,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,start_date,location_city,location_state,location_country,athlete_count,trainer,commute,manual,private,gear_id,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id_str,external_id,pr_count,stravaConnectionId,createdAt,updatedAt,gender,age,score,week,wasCalculated
12037,7562.4,1733,1793,48.0,Ride,ROAD,2024-08-27 01:47:05,,,United States,1,False,False,False,False,b120709,4.364,8.977,False,False,False,144.0,102.0,13060452466,stripped_garmin_ping_365534057220,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.932,2024-08-30 19:37:37.932,male,51,87.13,35,True
12039,3134.4,837,1005,47.0,Ride,ROAD,2024-08-26 23:39:03,,,United States,1,False,False,False,False,b120709,3.745,8.24,False,False,False,138.0,95.2,13059825853,stripped_garmin_ping_365512850077,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.932,2024-08-30 19:37:37.932,male,51,100.0,35,True
12048,7573.5,1690,1767,51.0,Ride,ROAD,2024-08-20 01:16:44,,,United States,1,False,False,False,False,b120709,4.481,8.902,False,False,False,144.8,102.8,12997963815,stripped_garmin_ping_363791727314,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.932,2024-08-30 19:37:37.932,male,51,83.31,34,True
12050,4415.0,1264,1264,66.0,Ride,ROAD,2024-08-19 23:41:55,,,United States,1,False,False,False,False,b120709,3.493,7.868,False,False,False,119.0,76.0,12997438893,stripped_garmin_ping_363776027458,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.933,2024-08-30 19:37:37.933,male,51,100.0,34,True
12068,667.9,469,484,18.0,Run,TRAIL,2024-08-06 19:34:35,,,United States,1,False,False,False,False,g13263,1.424,1.915,False,False,False,83.0,67.8,12877076830,stripped_garmin_ping_360516698914,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.933,2024-08-30 19:37:37.933,male,51,100.0,32,True
12070,7071.6,1516,1612,46.0,Ride,ROAD,2024-08-06 01:16:01,,,United States,1,False,False,False,False,b120709,4.665,9.447,False,False,False,143.2,104.4,12869492496,stripped_garmin_ping_360325362178,1,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.933,2024-08-30 19:37:37.933,male,51,77.88,32,True
12072,4448.0,1252,1346,65.0,Ride,ROAD,2024-08-05 23:30:55,,,United States,1,False,False,False,False,b120709,3.553,8.196,False,False,False,119.0,75.8,12868974018,stripped_garmin_ping_360308596569,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.934,2024-08-30 19:37:37.934,male,51,100.0,32,True
12073,21024.4,5937,7809,177.0,Ride,ROAD,2024-08-05 13:58:30,,,United States,1,False,False,False,False,b120709,3.541,9.762,False,False,False,71.0,5.0,12865530568,stripped_garmin_ping_360222196173,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.934,2024-08-30 19:37:37.934,male,51,100.0,32,True
12074,18467.6,4114,4180,178.0,Ride,ROAD,2024-08-05 01:24:11,,,United States,1,False,False,False,False,b120709,4.489,9.837,False,False,False,73.0,5.2,12860903196,stripped_garmin_ping_360079307981,1,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.935,2024-08-30 19:37:37.935,male,51,78.21,32,True
12080,12191.1,3977,5820,163.0,Ride,ROAD,2024-07-29 14:00:00,,,United States,1,False,False,False,False,b120709,3.065,10.668,False,False,False,89.4,18.0,12804506206,stripped_garmin_ping_358509583540,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.935,2024-08-30 19:37:37.935,male,51,100.0,31,True
12084,1013.1,459,528,0.0,Run,RUN,2024-07-27 14:24:23,,,United States,1,False,False,False,False,g13263,2.207,4.476,False,False,False,124.6,123.1,12787266760,stripped_89EFC270-EBD9-4FCB-B775-38CD4C63B3A4-activity.fit,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.935,2024-08-30 19:37:37.935,male,51,72.42,30,True
