Ticker;Sector;NAME;Year;PL;PT;DIR;LL_Consolidado;PR_all;PS_all;Legal Index;Leverage Index;Governance Index;Global Index;Legal Ranking;Governance Ranking;Leverage Ranking;Global Points;Global Ranking;LPA;Aplicações Financeiras;Caixa e Equivalentes de Caixa;Clientes;Despesas Financeiras;Despesas/Receitas Operacionais;Empréstimos e Financiamentos;Fornecedores;Imobilizado;Intangível;Investimentos;Outras Despesas Operacionais;Passivo Circulante;Passivo Não Circulante;Capacidade Financeira
OIBR3.SA;Comunicações;OI S.A. - EM RECUPERAÇÃO JUDICIAL;2018;22895810560;42541985792;1424044,81;24615555072;5038720000;30080186000;-0,181668788;-0,461806727;17284,66046;4320,95883;64;1;83;53;48,5;1731,373995;201975;4385329;6516555;-4341595;-11743622;672894;5225862;28425563;6948446;117840;-7061516;10689459;31852527;11103859
OIBR3.SA;Comunicações;OI S.A. - EM RECUPERAÇÃO JUDICIAL;2012;19826618368;57964654592;17205000;837476992;4075205000;19303284000;-0,956614792;-0,657953308;47,67637268;11,27629745;93;26;90;75,5;86;1276,781975;2425907;4413042;7018497;-4490899;-7735838;3113621;4658849;23110061;4237152;80712;-1886226;17096423;40663917;13857446
OIBR3.SA;Comunicações;OI S.A. - EM RECUPERAÇÃO JUDICIAL;2013;11524137984;58571931648;15147000;1493015040;3833671000;19911096000;-0,925015929;-0,803248115;97,56836601;23,72877151;89;14;98;72,5;82;910,3594573;492510;2424830;7096679;-4649665;-7876315;4158708;4732174;24786286;3919491;173640;-1912931;15540457;43031476;10014019
VSTE3.SA;Consumo Cíclico;VESTE S.A. ESTILO;2017;2146494976;1544451968;20000000;420568000;6335000;39750000;9,580327044;0,389810121;20,0284;9,894716052;10;49;34;25,75;11;71,44034969;0;409740;44043;-208601;-740371;469809;274886;198807;1889702;0;-96137;976032;568420;453783
MOAR3.SA;Financeiro;MONTEIRO ARANHA S.A.;2021;923209984;1233314944;10440000;591382976;1000;1000;591381,976;-0,251440203;55,64587893;295704,8366;2;48;78;32,5;15,5;48,27135189;535603;225382;0;-399982;508450;207809;0;10474;33;1261842;-26979;233076;1000239;760985
GPAR3.SA;Utilidade Pública;CIA CELG DE PARTICIPACOES - CELGPAR;2016;-1900626048;4024506112;3405716,16;1444025984;5697000;1000;1444024,984;-1,472263178;423,0006848;722117,8741;1;3;124;32,25;21;44,06010862;40680;130;7314;-85807;1543079;3481;6209;11348;432;135225;-8124;311716;3712790;48124
VALE3.SA;Materiais Básicos;VALE S.A.;2021;1,97058E+11;3,0207E+11;195367049,9;1,21343E+11;6163000000;45479000000;1,668110569;-0,347641278;620,1026918;155,7728179;64;5;94;56,75;38;24,02401617;1028000;65409000;21840000;15990000;-34922000;6720000;19393000;233995000;50287000;9771000;-23022000;84814000;217256000;88277000
APER3.SA;Financeiro;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;2012;506267008;299032992;8165797;117528000;32367000;8833000;12,3055587;0,693013887;13,39271635;9,67421191;16;60;18;27,5;15;23,9601443;257310;3317;72810;-668;-123017;45;764;4476;398579;747;-23645;127582;171451;333437
BHIA3.SA;Consumo Cíclico;GRUPO CASAS BAHIA S.A.;2013;3950802944;9507019776;21726046;1144519040;372514000;1074668000;0,064997785;-0,584433078;51,67958284;12,80628633;58;27;83;56,5;67;22,45865201;24453;3508878;2136142;-814630;-4462755;3055807;3149899;1149500;817519;669312;-376074;7809434;1697586;5669473
APER3.SA;Financeiro;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;2013;508142016;341809984;11402185;108605000;37676000;7593000;13,30330568;0,486621339;8,524928775;8,904540366;13;71;24;30,25;15;21,75392249;119574;21949;83276;-2084;-158967;78;1006;5419;556162;0;0;133874;207936;224799
BRAP3.SA;Materiais Básicos;BRADESPAR S.A.;2021;7502810112;51014000;13750000;8079261184;1000;1400000000;4,770900846;146,0735506;586,5826316;185,549496;45;6;1;24,25;8;20,55286037;0;294709;0;-915;8017274;0;0;56;969;7048401;-35974;50042;972;294709
